Subj_1,Subj_2,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_27,Subj_28,Subj_30,Subj_31,Subj_33,Subj_34
167,46.2,0,80.3,21.8,2.6,60.6,83,0,184.8,47.6,35.2,275.4,2.6,52.6,0,0,15.4,472.4,22,7.2,0,0,595,42.3,717.1,31.2,0,113.8
30.2,60.4,0,180.2,0,0,57.2,0,0,107.6,2.6,96.4,184,5,106.8,0,2.6,0,322.2,0,51.6,0,0,485,61.3,921.1,27,0,63.4
0,2.6,26.6,118.2,0,7.8,7.6,105.6,0,190,10.2,176.2,125.6,0,62.8,0,2.6,0,189.7562505,0,0,0,0,688.6,105.7,428.8,0,0,134.8
22.6,20.4,74,195.5,2.4,0,45.2,4.6,0,252.4,35.2,74.33150651,74,12.6,0,0,2.6,0,29.95625048,3.25,0,0,54.8,649,29.5,224.9,77.8,0,28.8
0,0,4.8,25.6,0,0,110.4,2.4,0,804.8,5,20,19.2,0,32.6,0,9,5.2,83.6,0,0,0,50.6,702.6,16.4,240.3,222.2,0,26.8
60.6,0,0,0,12,10.2,50.2,0,87.75,328.8,12.6,7.6,14.4,0,5.2,0,58.9,103.4,37.2,0,76.8,0,0,585.4,73.3,252,309.2,0,82
0,0,90.4,7.5,7.2,0,7.6,0,44.5,297.4,0,0,9.6,0,76.2,0,0,42.4,0,0,31.4,14,13.4,841.4,22.6,177,35.6,0,92
15,0,31.4,48.9,4.8,0,12.6,18.6,111,172.6,0,20,24.2,5,105.4,0,40,10.2,0,77.25,57,15,20,621.2,37.6,348.8,2,0,66.8
81.4,0,0,52.2,4.8,0,47.8,111.8,0,174.6,5.2,7.6,63.2,0,117.4,0,49.7,0,0,15.75,87,112.4,11.2,801.8,35.4,361.9,36.2,0,59
0,0,0,64.8,4.8,0,25,0,0,114.2,5,12.6,7.2,0,138.6,0,0,0,2.4,6.25,29,81.4,0,468.6,279.8,310.6,22,0,94.2
32.6,0,0,53.9,0,0,2.6,0,44.5,217,49.2,102.4,38.6,0,0,0,2.6,0,19.4,9.5,2.4,0,0,311.4,310.4,231.6,7,0,85.4
0,0,4.8,0,9.6,15.4,63.2,0,28.25,242.8,17.6,2.6,38.6,0,20,0,0,0,14.4,28.25,45.8,0,0,428.6,270.2,354,0,0,144.4
44.6,114.6,0,0,4.8,12.8,134,0,67.25,268.4,27.6,12.6,31.4,0,0,0,0,0,0,12.5,155,0,0,428,345.6,368.3,176.6,17.6,103.4
0,54.8,0,56.2,31.4,0,97.4,7,44.5,265.2,5.2,15,31.2,0,0,0,1.3,0,2.4,15.75,12,2,0,519.8,317,258.7,182.8,10,46.4
