Day,Minute,Acti Data
Monday,1,0
Monday,2,0
Monday,3,0
Monday,4,0
Monday,5,0
Monday,6,0
Monday,7,0
Monday,8,0
Monday,9,0
Monday,10,0
Monday,11,0
Monday,12,0
Monday,13,0
Monday,14,0
Monday,15,0
Monday,16,0
Monday,17,0
Monday,18,77
Monday,19,0
Monday,20,0
Monday,21,0
Monday,22,26
Monday,23,0
Monday,24,13
Monday,25,0
Monday,26,0
Monday,27,0
Monday,28,0
Monday,29,0
Monday,30,0
Monday,31,0
Monday,32,0
Monday,33,0
Monday,34,0
Monday,35,0
Monday,36,0
Monday,37,0
Monday,38,0
Monday,39,0
Monday,40,0
Monday,41,0
Monday,42,0
Monday,43,0
Monday,44,0
Monday,45,0
Monday,46,0
Monday,47,0
Monday,48,0
Monday,49,0
Monday,50,51
Monday,51,0
Monday,52,0
Monday,53,0
Monday,54,0
Monday,55,0
Monday,56,0
Monday,57,0
Monday,58,64
Monday,59,0
Monday,60,26
Monday,61,90
Monday,62,0
Monday,63,0
Monday,64,0
Monday,65,0
Monday,66,0
Monday,67,0
Monday,68,0
Monday,69,0
Monday,70,0
Monday,71,0
Monday,72,0
Monday,73,0
Monday,74,0
Monday,75,26
Monday,76,243
Monday,77,26
Monday,78,0
Monday,79,0
Monday,80,197
Monday,81,77
Monday,82,64
Monday,83,38
Monday,84,0
Monday,85,38
Monday,86,0
Monday,87,0
Monday,88,0
Monday,89,0
Monday,90,0
Monday,91,0
Monday,92,0
Monday,93,0
Monday,94,0
Monday,95,0
Monday,96,0
Monday,97,0
Monday,98,0
Monday,99,0
Monday,100,0
Monday,101,0
Monday,102,0
Monday,103,0
Monday,104,0
Monday,105,0
Monday,106,0
Monday,107,0
Monday,108,0
Monday,109,0
Monday,110,0
Monday,111,128
Monday,112,0
Monday,113,0
Monday,114,0
Monday,115,0
Monday,116,26
Monday,117,141
Monday,118,0
Monday,119,0
Monday,120,0
Monday,121,0
Monday,122,0
Monday,123,0
Monday,124,0
Monday,125,0
Monday,126,0
Monday,127,0
Monday,128,0
Monday,129,0
Monday,130,0
Monday,131,0
Monday,132,0
Monday,133,128
Monday,134,497
Monday,135,0
Monday,136,0
Monday,137,0
Monday,138,0
Monday,139,0
Monday,140,0
Monday,141,0
Monday,142,0
Monday,143,0
Monday,144,0
Monday,145,0
Monday,146,0
Monday,147,0
Monday,148,0
Monday,149,0
Monday,150,0
Monday,151,0
Monday,152,0
Monday,153,0
Monday,154,0
Monday,155,0
Monday,156,0
Monday,157,0
Monday,158,0
Monday,159,13
Monday,160,0
Monday,161,0
Monday,162,26
Monday,163,0
Monday,164,0
Monday,165,0
Monday,166,0
Monday,167,0
Monday,168,0
Monday,169,0
Monday,170,0
Monday,171,0
Monday,172,0
Monday,173,0
Monday,174,0
Monday,175,0
Monday,176,0
Monday,177,0
Monday,178,0
Monday,179,0
Monday,180,0
Monday,181,0
Monday,182,0
Monday,183,0
Monday,184,0
Monday,185,0
Monday,186,0
Monday,187,0
Monday,188,0
Monday,189,0
Monday,190,0
Monday,191,0
Monday,192,0
Monday,193,0
Monday,194,0
Monday,195,289
Monday,196,26
Monday,197,13
Monday,198,0
Monday,199,0
Monday,200,0
Monday,201,0
Monday,202,13
Monday,203,26
Monday,204,64
Monday,205,13
Monday,206,154
Monday,207,0
Monday,208,0
Monday,209,0
Monday,210,0
Monday,211,0
Monday,212,0
Monday,213,0
Monday,214,0
Monday,215,0
Monday,216,0
Monday,217,0
Monday,218,0
Monday,219,26
Monday,220,0
Monday,221,0
Monday,222,0
Monday,223,0
Monday,224,0
Monday,225,0
Monday,226,13
Monday,227,26
Monday,228,0
Monday,229,0
Monday,230,13
Monday,231,26
Monday,232,51
Monday,233,38
Monday,234,0
Monday,235,90
Monday,236,0
Monday,237,0
Monday,238,51
Monday,239,64
Monday,240,0
Monday,241,13
Monday,242,0
Monday,243,38
Monday,244,0
Monday,245,0
Monday,246,371
Monday,247,0
Monday,248,102
Monday,249,0
Monday,250,660
Monday,251,243
Monday,252,0
Monday,253,166
Monday,254,141
Monday,255,154
Monday,256,579
Monday,257,0
Monday,258,51
Monday,259,26
Monday,260,0
Monday,261,0
Monday,262,0
Monday,263,0
Monday,264,0
Monday,265,0
Monday,266,26
Monday,267,13
Monday,268,0
Monday,269,0
Monday,270,0
Monday,271,0
Monday,272,0
Monday,273,0
Monday,274,0
Monday,275,0
Monday,276,0
Monday,277,0
Monday,278,0
Monday,279,0
Monday,280,0
Monday,281,0
Monday,282,0
Monday,283,0
Monday,284,0
Monday,285,0
Monday,286,0
Monday,287,0
Monday,288,0
Monday,289,0
Monday,290,0
Monday,291,0
Monday,292,0
Monday,293,0
Monday,294,0
Monday,295,0
Monday,296,0
Monday,297,0
Monday,298,0
Monday,299,0
Monday,300,0
Monday,301,0
Monday,302,38
Monday,303,0
Monday,304,0
Monday,305,13
Monday,306,0
Monday,307,0
Monday,308,0
Monday,309,0
Monday,310,0
Monday,311,0
Monday,312,0
Monday,313,0
Monday,314,259
Monday,315,461
Monday,316,13
Monday,317,0
Monday,318,228
Monday,319,64
Monday,320,274
Monday,321,128
Monday,322,0
Monday,323,0
Monday,324,26
Monday,325,26
Monday,326,0
Monday,327,0
Monday,328,0
Monday,329,0
Monday,330,0
Monday,331,0
Monday,332,0
Monday,333,0
Monday,334,0
Monday,335,0
Monday,336,0
Monday,337,0
Monday,338,0
Monday,339,0
Monday,340,102
Monday,341,353
Monday,342,26
Monday,343,0
Monday,344,0
Monday,345,0
Monday,346,0
Monday,347,0
Monday,348,0
Monday,349,0
Monday,350,13
Monday,351,0
Monday,352,0
Monday,353,0
Monday,354,0
Monday,355,0
Monday,356,0
Monday,357,0
Monday,358,0
Monday,359,0
Monday,360,0
Monday,361,0
Monday,362,51
Monday,363,0
Monday,364,77
Monday,365,0
Monday,366,0
Monday,367,26
Monday,368,0
Monday,369,0
Monday,370,0
Monday,371,0
Monday,372,0
Monday,373,102
Monday,374,0
Monday,375,0
Monday,376,0
Monday,377,90
Monday,378,13
Monday,379,0
Monday,380,64
Monday,381,77
Monday,382,0
Monday,383,0
Monday,384,0
Monday,385,0
Monday,386,26
Monday,387,141
Monday,388,212
Monday,389,0
Monday,390,0
Monday,391,0
Monday,392,26
Monday,393,0
Monday,394,0
Monday,395,0
Monday,396,0
Monday,397,0
Monday,398,0
Monday,399,0
Monday,400,0
Monday,401,0
Monday,402,0
Monday,403,0
Monday,404,538
Monday,405,166
Monday,406,141
Monday,407,166
Monday,408,166
Monday,409,0
Monday,410,0
Monday,411,640
Monday,412,274
Monday,413,212
Monday,414,13
Monday,415,371
Monday,416,259
Monday,417,13
Monday,418,197
Monday,419,443
Monday,420,0
Monday,421,0
Monday,422,0
Monday,423,0
Monday,424,0
Monday,425,0
Monday,426,0
Monday,427,0
Monday,428,0
Monday,429,0
Monday,430,0
Monday,431,0
Monday,432,0
Monday,433,0
Monday,434,0
Monday,435,0
Monday,436,0
Monday,437,0
Monday,438,0
Monday,439,0
Monday,440,0
Monday,441,0
Monday,442,0
Monday,443,0
Monday,444,0
Monday,445,1423
Monday,446,1001
Monday,447,538
Monday,448,558
Monday,449,1262
Monday,450,1262
Monday,451,640
Monday,452,38
Monday,453,64
Monday,454,51
Monday,455,0
Monday,456,64
Monday,457,90
Monday,458,1201
Monday,459,166
Monday,460,730
Monday,461,660
Monday,462,1823
Monday,463,228
Monday,464,197
Monday,465,0
Monday,466,141
Monday,467,77
Monday,468,26
Monday,469,115
Monday,470,26
Monday,471,38
Monday,472,13
Monday,473,64
Monday,474,197
Monday,475,77
Monday,476,26
Monday,477,166
Monday,478,13
Monday,479,13
Monday,480,90
Monday,481,38
Monday,482,115
Monday,483,51
Monday,484,51
Monday,485,26
Monday,486,51
Monday,487,64
Monday,488,102
Monday,489,274
Monday,490,599
Monday,491,1784
Monday,492,1293
Monday,493,975
Monday,494,389
Monday,495,389
Monday,496,212
Monday,497,90
Monday,498,51
Monday,499,166
Monday,500,13
Monday,501,64
Monday,502,51
Monday,503,26
Monday,504,0
Monday,505,538
Monday,506,579
Monday,507,166
Monday,508,975
Monday,509,1526
Monday,510,660
Monday,511,538
Monday,512,1231
Monday,513,115
Monday,514,102
Monday,515,730
Monday,516,950
Monday,517,182
Monday,518,660
Monday,519,212
Monday,520,353
Monday,521,353
Monday,522,154
Monday,523,77
Monday,524,640
Monday,525,115
Monday,526,166
Monday,527,259
Monday,528,558
Monday,529,873
Monday,530,599
Monday,531,730
Monday,532,13
Monday,533,182
Monday,534,599
Monday,535,228
Monday,536,753
Monday,537,274
Monday,538,13
Monday,539,51
Monday,540,13
Monday,541,77
Monday,542,26
Monday,543,0
Monday,544,13
Monday,545,90
Monday,546,26
Monday,547,77
Monday,548,51
Monday,549,26
Monday,550,38
Monday,551,64
Monday,552,13
Monday,553,26
Monday,554,353
Monday,555,1457
Monday,556,517
Monday,557,141
Monday,558,0
Monday,559,371
Monday,560,197
Monday,561,558
Monday,562,497
Monday,563,166
Monday,564,517
Monday,565,197
Monday,566,389
Monday,567,77
Monday,568,197
Monday,569,479
Monday,570,51
Monday,571,425
Monday,572,289
Monday,573,479
Monday,574,443
Monday,575,950
Monday,576,660
Monday,577,182
Monday,578,51
Monday,579,197
Monday,580,77
Monday,581,26
Monday,582,77
Monday,583,0
Monday,584,102
